"ARI" ""
"result.1" 0.487696659847687 2
"result.2" 0.00329288192183445 2
"result.3" 0.0300056929026598 2
"result.4" 0.425168741691578 2
"result.5" 0.00815989606144505 2
"result.6" 0.993827574364305 3
"result.7" 0.0284359700553119 2
"result.8" 0.488786552328868 2
"result.9" 0.424794415514147 2
"result.10" 0.0128595697110005 2
"result.11" 0.911452776047038 5
"result.12" 0.0250739432283644 2
"result.13" 0.0169531813895123 2
"result.14" 0.449238113041546 2
"result.15" 0.488786552328868 2
"result.16" 0.101656047598346 2
"result.17" 0.488786552328868 2
"result.18" 0.484442558356998 2
"result.19" 0.00424712988095355 2
"result.20" 0.0067193896641802 2
"result.21" 0.0178732594781518 2
"result.22" 0.361443651168361 2
"result.23" 0.0206401872369865 2
"result.24" 0.444996182339369 3
"result.25" 0.100867825352052 2
"result.26" 0.00641341881819064 2
"result.27" 0.453770951496984 3
"result.28" 0.0056169186052497 2
"result.29" -0.000945980945872436 2
"result.30" 0.00363670567142837 2
"result.31" 0.0190352236583665 2
"result.32" 0.0409844066072169 2
"result.33" 0.0468850240511118 2
"result.34" 0.488786552328868 2
"result.35" 0.0205705057040658 2
"result.36" 0.388996812088501 2
"result.37" 0.488786552328868 2
"result.38" 0.033909994851977 2
"result.39" 0.488786552328868 2
"result.40" 0.0301289296116337 2
"result.41" 0.0224121205306289 2
"result.42" 0.0240559076607655 2
"result.43" 0.00310504992623657 2
"result.44" 0.488786552328868 2
"result.45" 0.0535822659126812 2
"result.46" 0.963489410405108 3
"result.47" 0.406854856231412 3
"result.48" 0.00848551352976987 2
"result.49" 0.0304003195779154 2
"result.50" 0.0156106888556677 2
