"ARI" ""
"result.1" 0.997939115549971 3
"result.2" 1 3
"result.3" 0.997939115549971 3
"result.4" 0.993830501783064 3
"result.5" 0.997939600338526 3
"result.6" 0.99588309938188 3
"result.7" 1 3
"result.8" 0.997939600338526 3
"result.9" 0.991781812169908 3
"result.10" 0.997939115549971 3
"result.11" 0.990201049663915 3
"result.12" 1 3
"result.13" 1 3
"result.14" 0.993827574364305 3
"result.15" 1 3
"result.16" 0.997939115549971 3
"result.17" 1 3
"result.18" 1 3
"result.19" 0.991781812169908 3
"result.20" 0.989732086054275 3
"result.21" 0.993827574364305 3
"result.22" 0.993827574364305 3
"result.23" 0.998101589439848 3
"result.24" 0.997939600338526 3
"result.25" 0.997939600338526 3
"result.26" 0.996041228334109 3
"result.27" 0.994149969772198 3
"result.28" 1 3
"result.29" 0.995882122764341 3
"result.30" 0.993827574364305 3
"result.31" 0.99588116183721 3
"result.32" 0.993830501783064 3
"result.33" 0.991933192945478 3
"result.34" 0.989729670131161 3
"result.35" 0.994148042748594 3
"result.36" 0.991779830885012 3
"result.37" 0.993827574364305 3
"result.38" 1 3
"result.39" 1 3
"result.40" 0.997939115549971 3
"result.41" 0.991931658261765 3
"result.42" 1 3
"result.43" 0.993829026324071 3
"result.44" 0.998100965927844 3
"result.45" 0.997939600338526 3
"result.46" 0.993829026324071 3
"result.47" 0.991777880883766 3
"result.48" 0.99588309938188 3
"result.49" 1 3
"result.50" 0.998101589439848 3
