"ARI" ""
"result.1" 0.561758772711116 3
"result.2" 0.579322307590961 3
"result.3" 0.631680713572956 2
"result.4" 0.588591082380942 3
"result.5" 0.684187598963374 4
"result.6" 0.816403057725055 3
"result.7" 0.610206011979353 2
"result.8" 0.62948462044418 2
"result.9" 0.631799553484347 2
"result.10" 0.81502853321308 3
"result.11" 0.620293744055087 2
"result.12" 0.610206011979353 2
"result.13" 0.835969327777799 3
"result.14" 0.829645288527717 3
"result.15" 0.627147855368283 2
"result.16" 0.617519752874845 3
"result.17" 0.812351660007653 3
"result.18" 0.624864057948062 2
"result.19" 0.623399809233162 2
"result.20" 0.626451757471761 2
"result.21" 0.561518604933001 3
"result.22" 0.562631943423438 2
"result.23" 0.629601634450646 2
"result.24" 0.822754486643758 3
"result.25" 0.839285212625658 3
"result.26" 0.825365660996515 3
"result.27" 0.628187482703107 2
"result.28" 0.828869599745578 3
"result.29" 0.824305279339243 3
"result.30" 0.624254652564468 2
"result.31" 0.635376390083384 2
"result.32" 0.634826843858723 2
"result.33" 0.564761199456522 3
"result.34" 0.635376390083384 2
"result.35" 0.834681574092899 3
"result.36" 0.838384927716495 3
"result.37" 0.835355158869326 3
"result.38" 0.55367638663708 3
"result.39" 0.631680713572956 2
"result.40" 0.62948462044418 2
"result.41" 0.829457340499458 3
"result.42" 0.820782670978032 3
"result.43" 0.659792443376924 3
"result.44" 0.631661391387663 2
"result.45" 0.631523785318771 2
"result.46" 0.78530895501863 3
"result.47" 0.836202786575031 3
"result.48" 0.727587850891386 3
"result.49" 0.634564145107227 2
"result.50" 0.629598170213255 2
