,sensitivity,Specificity,MCC,AUC
1,1,0.9875,0.871559168740358,0.997916666666667
2,1,1,1,1
3,1,0.997916666666667,0.97488298036063,1
4,1,0.99375,0.929586163183709,0.998958333333333
5,1,0.995833333333333,0.951474135383107,0.998958333333333
6,1,1,1,1
7,1,0.99375,0.929586163183709,0.998958333333333
8,1,0.997916666666667,0.97488298036063,1
9,1,0.997916666666667,0.97488298036063,1
10,1,0.997916666666667,0.97488298036063,1
11,1,0.995833333333333,0.951474135383107,1
12,1,0.977083333333333,0.793962432414797,0.997916666666667
13,1,0.995833333333333,0.951474135383107,1
14,1,0.995833333333333,0.951474135383107,1
15,1,0.991666666666667,0.90905934288631,1
16,1,0.995833333333333,0.951474135383107,0.998958333333333
17,1,1,1,1
18,1,1,1,1
19,1,0.991666666666667,0.90905934288631,0.998958333333333
20,1,0.997916666666667,0.97488298036063,1
21,1,0.989583333333333,0.889756521002609,0.997916666666667
22,1,0.995833333333333,0.951474135383107,0.998958333333333
23,1,1,1,1
24,1,0.997916666666667,0.97488298036063,1
25,1,0.989583333333333,0.889756521002609,0.997916666666667
26,1,1,1,1
27,1,0.985416666666667,0.854364249957205,1
28,1,0.997916666666667,0.97488298036063,1
29,1,0.997916666666667,0.97488298036063,1
30,1,1,1,1
31,1,0.997916666666667,0.97488298036063,1
32,1,0.991666666666667,0.90905934288631,0.998958333333333
33,1,0.997916666666667,0.97488298036063,1
34,1,0.995833333333333,0.951474135383107,1
35,1,1,1,1
36,1,1,1,1
37,1,0.995833333333333,0.951474135383107,1
38,1,0.989583333333333,0.889756521002609,0.998958333333333
39,1,0.99375,0.929586163183709,1
40,1,1,1,1
41,1,0.995833333333333,0.951474135383107,1
42,1,0.995833333333333,0.951474135383107,1
43,1,1,1,1
44,1,0.977083333333333,0.793962432414797,0.998958333333333
45,1,1,1,1
46,1,1,1,1
47,1,0.995833333333333,0.951474135383107,0.997916666666667
48,1,0.997916666666667,0.97488298036063,1
49,1,0.99375,0.929586163183709,1
50,1,0.995833333333333,0.951474135383107,0.998958333333333
