"ARI" ""
"result.1" 0.418648509150783 3
"result.2" 0.483063782266717 2
"result.3" 0.416390909369966 4
"result.4" 0.00307164607568394 5
"result.5" 0.42875833341084 3
"result.6" 0.572358335789073 2
"result.7" 0.409949476395501 3
"result.8" 0.507772119224961 2
"result.9" 0.505256423301251 2
"result.10" 0.482841092297877 2
"result.11" 0.49620828694675 2
"result.12" 0.518977212512417 2
"result.13" 0.51661155365188 2
"result.14" 0.33157751830115 4
"result.15" 0.502757529039173 2
"result.16" 0.514414653022892 2
"result.17" -0.00519708463200978 3
"result.18" 0.489926108214841 2
"result.19" 0.417259317000761 3
"result.20" 0.515250503310018 2
"result.21" 0.480155449039198 2
"result.22" 0.469813939478514 2
"result.23" 0.571253875396218 2
"result.24" 0.427179796982938 3
"result.25" 0.507670578679632 2
"result.26" 0.496403357887859 2
"result.27" 0.501976300855969 2
"result.28" 0.510448539145761 2
"result.29" 0.504503065004782 2
"result.30" 0.526536922492882 2
"result.31" 0.596235294825636 2
"result.32" 0.304594631880848 6
"result.33" 0.34468667129213 3
"result.34" 0.598023315710479 2
"result.35" 0.513294410137659 2
"result.36" 0.581498545995196 2
"result.37" 0.511849929675275 2
"result.38" 0.357244117638618 3
"result.39" 0.57517637589144 2
"result.40" 0.477860687338759 2
"result.41" 0.392669216865767 3
"result.42" 0.503714935713222 3
"result.43" 0.464701799124024 2
"result.44" 0.500277201592014 2
"result.45" 0.408270523481711 4
"result.46" 0.489174496709471 2
"result.47" 0.443881389565523 3
"result.48" 0.511343690235189 2
"result.49" 0.410364334759406 3
"result.50" 0.558174923840671 2
