"ARI" ""
"result.1" 0.990412282230716 7
"result.2" 0.980257164633713 7
"result.3" 0.992260617618356 7
"result.4" 0.98876271614672 7
"result.5" 0.987146053568627 7
"result.6" 0.99312072561917 7
"result.7" 0.99418886623325 7
"result.8" 0.988601786486481 7
"result.9" 0.992677126150196 7
"result.10" 0.988372740143819 7
"result.11" 0.991621675650907 7
"result.12" 0.986353456535714 7
"result.13" 0.991770604414509 7
"result.14" 0.985739137394563 7
"result.15" 0.989212924816223 7
"result.16" 0.983810817061066 7
"result.17" 0.976741892627672 7
"result.18" 0.97785656409931 7
"result.19" 0.987012313868355 7
"result.20" 0.98239622237134 7
"result.21" 0.909535634631121 6
"result.22" 0.994094174891621 7
"result.23" 0.986749693022591 7
"result.24" 0.979182981778471 7
"result.25" 0.99206114293322 7
"result.26" 0.987676139111542 7
"result.27" 0.987051017194106 7
"result.28" 0.993140827154947 7
"result.29" 0.992596852064826 7
"result.30" 0.992751810756873 7
"result.31" 0.989547110795929 7
"result.32" 0.997112061702858 7
"result.33" 0.977936529161351 7
"result.34" 0.997459922928408 7
"result.35" 0.997067752248447 7
"result.36" 0.987978937578865 7
"result.37" 0.994194188707301 7
"result.38" 0.976542033969501 7
"result.39" 0.982866629861292 7
"result.40" 0.981613506035119 7
"result.41" 0.991750722613684 7
"result.42" 0.986622873649561 7
"result.43" 0.983097602105185 7
"result.44" 0.990987390691997 7
"result.45" 0.984585721172308 7
"result.46" 0.990535365695037 7
"result.47" 0.98930844368245 7
"result.48" 0.989695240906514 7
"result.49" 0.99369699886479 7
"result.50" 0.997756710182433 7
