"ARI" ""
"result.1" 0.332935543782659 4
"result.2" 0.291944244266431 5
"result.3" 0.409387455913643 4
"result.4" 0.236701986594308 6
"result.5" 0.495435590529272 4
"result.6" 0.45112962189668 5
"result.7" 0.415635725469391 5
"result.8" 0.428016974074664 4
"result.9" 0.386499300771623 4
"result.10" 0.394618701569178 4
"result.11" 0.39417629233335 4
"result.12" 0.368064960536507 4
"result.13" 0.394431516067861 4
"result.14" 0.490576337443655 5
"result.15" 0.395374983282966 3
"result.16" 0.413621440119185 4
"result.17" 0.354774398021353 3
"result.18" 0.30873585032325 4
"result.19" 0.42865434812727 4
"result.20" 0.435280661193639 4
"result.21" 0.329212804087158 3
"result.22" 0.334079696982446 3
"result.23" 0.407230508127132 3
"result.24" 0.40366648036651 5
"result.25" 0.431943941147251 5
"result.26" 0.26576714891095 4
"result.27" 0.404090368744468 4
"result.28" 0.478385090645128 4
"result.29" 0.436147979785135 4
"result.30" 0.415775627611757 3
"result.31" 0.470121499169909 4
"result.32" 0.336766650305129 5
"result.33" 0.340372537220014 4
"result.34" 0.475118779320355 4
"result.35" 0.402375505285231 4
"result.36" 0.432971703399842 4
"result.37" 0.439716527358458 4
"result.38" 0.307422811841729 4
"result.39" 0.502095296641768 5
"result.40" 0.401025833733599 4
"result.41" 0.468306306553447 4
"result.42" 0.426560565149927 6
"result.43" 0.408908797408216 4
"result.44" 0.404939652737405 4
"result.45" 0.387011440014328 4
"result.46" 0.362013053909669 4
"result.47" 0.351676971135688 4
"result.48" 0.412505533236484 3
"result.49" 0.461435535996913 5
"result.50" 0.480756698093097 4
