"ARI" "K"
"ARI1" 0.961274329299493 7
"ARI2" 0.956215294337245 7
"ARI3" 0.956590284880895 7
"ARI4" 0.967374238178272 7
"ARI5" 0.872504513825945 6
"ARI6" 0.96115194643509 7
"ARI7" 0.952135306117755 7
"ARI8" 0.77516259831433 5
"ARI9" 0.966580142100507 7
"ARI10" 0.874188351144408 6
"ARI11" 0.939033377859313 7
"ARI12" 0.948132491916784 7
"ARI13" 0.96270079319531 7
"ARI14" 0.951603695489118 7
"ARI15" 0.967164701428863 7
"ARI16" 0.954249874424052 7
"ARI17" 0.966174457958832 7
"ARI18" 0.969619806718388 7
"ARI19" 0.966162419434495 7
"ARI20" 0.973196261565155 7
"ARI21" 0.977360322647606 7
"ARI22" 0.96452352656723 7
"ARI23" 0.949344715194243 7
"ARI24" 0.972947394764428 7
"ARI25" 0.971307659607858 7
"ARI26" 0.975841296785944 7
"ARI27" 0.87747291362587 6
"ARI28" 0.853575232638862 6
"ARI29" 0.977810625646339 7
"ARI30" 0.959998281744042 7
"ARI31" 0.977676982993508 7
"ARI32" 0.960781409471645 7
"ARI33" 0.959658961007552 7
"ARI34" 0.962667833443215 7
"ARI35" 0.964306722989011 7
"ARI36" 0.966000784709734 7
"ARI37" 0.977311179461912 7
"ARI38" 0.971287574584421 7
"ARI39" 0.977759406936787 7
"ARI40" 0.875778633107465 6
"ARI41" 0.977676982993508 7
"ARI42" 0.960781409471645 7
"ARI43" 0.959658961007552 7
"ARI44" 0.962667833443215 7
"ARI45" 0.964306722989011 7
"ARI46" 0.966000784709734 7
"ARI47" 0.977311179461912 7
"ARI48" 0.971287574584421 7
"ARI49" 0.977759406936787 7
"ARI50" 0.961274329299493 7
