"ARI" ""
"result.1" 0.893458287817653 7
"result.2" 0.874744544672018 8
"result.3" 0.906666954101685 8
"result.4" 0.88706791402186 7
"result.5" 0.912469799450009 7
"result.6" 0.936721545419099 7
"result.7" 0.915503592150964 7
"result.8" 0.912704516302709 7
"result.9" 0.913871765832636 7
"result.10" 0.90820185758134 7
"result.11" 0.898988120460831 7
"result.12" 0.885687204541573 7
"result.13" 0.905257851000348 7
"result.14" 0.924683124120192 7
"result.15" 0.915461999236227 7
"result.16" 0.902768799085059 8
"result.17" 0.896186581900035 7
"result.18" 0.90542033111667 7
"result.19" 0.905568895490431 7
"result.20" 0.923175524688949 7
"result.21" 0.881996839570091 7
"result.22" 0.887086903172516 7
"result.23" 0.923475029630821 7
"result.24" 0.889895616024696 7
"result.25" 0.909938906393661 7
"result.26" 0.885368021414326 7
"result.27" 0.911569675676146 7
"result.28" 0.93403827298696 7
"result.29" 0.917745309652638 7
"result.30" 0.911690522357786 7
"result.31" 0.939713250381818 7
"result.32" 0.922775280057531 8
"result.33" 0.88730143080767 8
"result.34" 0.923364874796203 7
"result.35" 0.902514123285618 8
"result.36" 0.935646777373795 7
"result.37" 0.909311094605811 8
"result.38" 0.885293757446784 7
"result.39" 0.924422298790582 7
"result.40" 0.907715224034917 7
"result.41" 0.922834075201389 7
"result.42" 0.911434058997913 7
"result.43" 0.889521138186891 7
"result.44" 0.924279366304001 7
"result.45" 0.913083108525448 8
"result.46" 0.903870934413087 7
"result.47" 0.921439592490878 7
"result.48" 0.919262054510773 7
"result.49" 0.9334949781514 8
"result.50" 0.922674619727773 7
